OBJ_ID,CATEGORY,KEY,SMALL_VALUE,LOB_VALUE,AUDIT_SEQ
10470001,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470003,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470005,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470007,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470009,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470011,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470013,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470015,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470017,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470019,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470021,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470023,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470025,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470027,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470029,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470031,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470033,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470035,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470037,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470039,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470041,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470043,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470045,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470047,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470049,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470051,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470053,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470055,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470057,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470059,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470061,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470063,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470065,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470067,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470069,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470071,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470073,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470075,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470077,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470079,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470081,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470083,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470085,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470087,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470089,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10470091,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476001,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476003,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476005,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476007,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476009,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476011,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476013,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476015,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476017,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476019,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476021,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476023,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476025,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476027,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476029,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476031,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476033,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476035,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476037,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476039,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476041,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476043,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476045,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476047,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476049,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476051,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476053,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476055,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476057,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476059,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476061,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476063,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476065,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476067,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476069,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476071,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476073,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476075,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476077,IP_FIREFNO,FIREFNO,1.2021E+18,,1
10476079,IP_FIREFNO,FIREFNO,1.2021E+18,,1
